Core: audio_nios_ddr3_p0 - Instance: u0|ddr3
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.335,0.41
"Bus Turnaround Time (Slow 1100mV 85C Model)",8.3,--
"Core (Slow 1100mV 85C Model)",0.747,0.173
"Core Recovery/Removal (Slow 1100mV 85C Model)",-2.014,0.636
"DQS vs CK (Slow 1100mV 85C Model)",0.532,0.696
"Postamble (Slow 1100mV 85C Model)",0.853,0.853
"Read Capture (Slow 1100mV 85C Model)",0.38,0.333
"Write (Slow 1100mV 85C Model)",0.425,0.425
"Address Command (Slow 1100mV 0C Model)",0.386,0.379
"Bus Turnaround Time (Slow 1100mV 0C Model)",8.41,--
"Core (Slow 1100mV 0C Model)",0.861,0.133
"Core Recovery/Removal (Slow 1100mV 0C Model)",-1.74,0.539
"DQS vs CK (Slow 1100mV 0C Model)",0.554,0.72
"Postamble (Slow 1100mV 0C Model)",0.841,0.841
"Read Capture (Slow 1100mV 0C Model)",0.395,0.348
"Write (Slow 1100mV 0C Model)",0.437,0.437
"Address Command (Fast 1100mV 85C Model)",0.764,0.55
"Bus Turnaround Time (Fast 1100mV 85C Model)",8.78,--
"Core (Fast 1100mV 85C Model)",1.754,0.141
"Core Recovery/Removal (Fast 1100mV 85C Model)",0.592,0.356
"DQS vs CK (Fast 1100mV 85C Model)",0.655,0.797
"Postamble (Fast 1100mV 85C Model)",0.922,0.922
"Read Capture (Fast 1100mV 85C Model)",0.51,0.463
"Write (Fast 1100mV 85C Model)",0.484,0.484
"Address Command (Fast 1100mV 0C Model)",0.752,0.569
"Bus Turnaround Time (Fast 1100mV 0C Model)",8.811,--
"Core (Fast 1100mV 0C Model)",1.778,0.109
"Core Recovery/Removal (Fast 1100mV 0C Model)",1.02,0.318
"DQS vs CK (Fast 1100mV 0C Model)",0.65,0.805
"Postamble (Fast 1100mV 0C Model)",0.94,0.94
"Read Capture (Fast 1100mV 0C Model)",0.514,0.467
"Write (Fast 1100mV 0C Model)",0.486,0.486
